"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
1611,112,"ITA","Italy",1,"Abruzzo","","Abruzos|Abruzzen|Abruzzes|Abruzzi","Regione","Region"
1612,112,"ITA","Italy",2,"Apulia","","Apulien|Pouilles|Pouille|Puglia|Puglie","Regione","Region"
1613,112,"ITA","Italy",3,"Basilicata","","Basilicate|Lucania","Regione","Region"
1614,112,"ITA","Italy",4,"Calabria","","Calabre|Calabrie|Kalabrien","Regione","Region"
1615,112,"ITA","Italy",5,"Campania","","Campanha|Campanie|Kampanien","Regione","Region"
1616,112,"ITA","Italy",6,"Emilia-Romagna","","Emilia Romagna|Emilia|Emilia-Romaña|Émilie-Romagne","Regione","Region"
1617,112,"ITA","Italy",7,"Friuli-Venezia Giulia","","Friuli Venezia Giulia|Friuli-Venecia Julia","Regione","Autonomous Region"
1618,112,"ITA","Italy",8,"Lazio","","Lacio|Latium","Regione","Region"
1619,112,"ITA","Italy",9,"Liguria","","Ligurie|Ligurien","Regione","Region"
1620,112,"ITA","Italy",10,"Lombardia","","Lombardy|Lombardei|Lombardie","Regione","Region"
1621,112,"ITA","Italy",11,"Marche","","Marches|Marca","Regione","Region"
1622,112,"ITA","Italy",12,"Molise","","Molisa","Regione","Region"
1623,112,"ITA","Italy",13,"Piemonte","","Piemont|Piémont|Piemonte|Piedmont","Regione","Region"
1624,112,"ITA","Italy",14,"Sardegna","","Cerdeña|Sardenha","Regione","Autonomous Region"
1625,112,"ITA","Italy",15,"Sicily","","Sicilia","Regione","Autonomous Region"
1626,112,"ITA","Italy",16,"Toscana","","Tuscany|Toscane|Toskana","Regione","Region"
1627,112,"ITA","Italy",17,"Trentino-Alto Adige","","Trentino - Alto Adige|Trentino-Alto Adigio|Trentino-South Tirol|Venezia Tridentina","Regione","Autonomous Region"
1628,112,"ITA","Italy",18,"Umbria","","Ombrie|Umbrien","Regione","Region"
1629,112,"ITA","Italy",19,"Valle d'Aosta","","Aosta Valley|Val d'Aoste|Vallée d'Aoste","Regione","Autonomous Region"
1630,112,"ITA","Italy",20,"Veneto","","Venecia|Venetia|Venezia Euganea","Regione","Region"
