"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
27345,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",147,"Fontecchio","","","Commune","Commune"
27346,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",148,"Fossa","","","Commune","Commune"
27347,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",149,"Gagliano Aterno","","","Commune","Commune"
27348,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",150,"Gioia Dei Marsi","","","Commune","Commune"
27349,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",151,"Goriano Sicoli","","","Commune","Commune"
27350,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",152,"Introdacqua","","","Commune","Commune"
27351,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",153,"L' Aquila","","","Commune","Commune"
27352,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",154,"Lecce Nei Marsi","","","Commune","Commune"
27353,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",155,"Luco Dei Marsi","","","Commune","Commune"
27354,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",156,"Lucoli","","","Commune","Commune"
27355,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",157,"Magliano De' Marsi","","","Commune","Commune"
27356,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",158,"Massa d' Albe","","","Commune","Commune"
27357,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",159,"Molina Aterno","","","Commune","Commune"
27358,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",160,"Montereale","","","Commune","Commune"
27359,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",161,"Morino","","","Commune","Commune"
27360,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",162,"Navelli","","","Commune","Commune"
27361,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",163,"Ocre","","","Commune","Commune"
27362,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",164,"Ofena","","","Commune","Commune"
27363,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",165,"Opi","","","Commune","Commune"
27364,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",166,"Oricola","","","Commune","Commune"
27365,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",167,"Ortona Dei Marsi","","","Commune","Commune"
27366,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",168,"Ortucchio","","","Commune","Commune"
27367,112,"ITA","Italy",1,"Abruzzo",2,"L'Aquila",169,"Ovindoli","","","Commune","Commune"
34651,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",1,"Altino","","","Commune","Commune"
34652,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",2,"Archi","","","Commune","Commune"
34653,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",3,"Ari","","","Commune","Commune"
34654,112,"ITA","Italy",1,"Abruzzo",1,"Chieti",4,"Arielli","","","Commune","Commune"
